Inference type;Dataset size;Time;Iterations;ELBO
coordAsc/ugm_cavi;100;0.5387067079543001;3;-155.30659434985745
coordAsc/ugm_cavi;500;0.5409999132156;3;-726.7258030317455
coordAsc/ugm_cavi;1000;0.5407989263534;3;-1433.3736781068485
coordAsc/ugm_cavi;2000;0.5765837430952;3;-2854.79331428984
coordAsc/ugm_cavi;4000;0.5456864833830999;3;-5674.154427088489
coordAsc/ugm_cavi;8000;0.5350422382355;3;-11365.513141283742
coordAsc/ugm_cavi;16000;0.5406813383102;3;-22745.139379427186
gradAsc/ugm_gavi;100;6.677588844299;2320;-159.5498039443274
gradAsc/ugm_gavi;500;6.149282741544999;2219;-743.4455862890039
gradAsc/ugm_gavi;1000;3.33569521904;589;-1470.5510890512917
gradAsc/ugm_gavi;2000;7.697096467021001;3058;-2900.897462335642
gradAsc/ugm_gavi;4000;240.91432168445198;137014;-7048.500365941009
